"","SRR6145425","SRR6145429","SRR6145431","SRR6145433","SRR6145436","SRR6145443"
"ENSG00000278704.1",0,0,0,0,0,0
"ENSG00000277400.1",0,0,0,0,0,0
"ENSG00000274847.1",0,0,0,0,0,0
"ENSG00000277428.1",0,0,0,0,0,0
"ENSG00000276256.1",0,0,0,0,0,0
"ENSG00000278198.1",0,0,0,0,0,0
"ENSG00000276932.1",0,0,0,0,0,0
"ENSG00000273496.1",0,0,0,0,0,0
"ENSG00000273735.4",0,0,0,0,0,0
"ENSG00000273517.1",0,0,0,0,0,0
"ENSG00000277650.1",0,0,0,0,0,0
"ENSG00000274676.1",0,0,0,0,0,0
"ENSG00000276534.5",0,0,0,0,0,0
"ENSG00000274193.4",0,0,0,0,0,0
"ENSG00000276518.1",0,0,0,0,0,0
"ENSG00000273661.5",0,0,0,0,0,0
"ENSG00000278152.2",0,0,0,0,0,0
"ENSG00000276433.1",0,0,0,0,0,0
"ENSG00000277267.4",0,0,0,0,0,0
"ENSG00000274271.1",0,0,0,0,0,0
"ENSG00000278793.1",0,0,0,0,0,0
"ENSG00000277630.4",0,0,0,0,0,0
"ENSG00000274202.1",0,0,0,0,0,0
"ENSG00000278384.1",0,0,0,0,0,0
"ENSG00000273748.1",0,0,0,0,0,0
"ENSG00000276197.1",0,0,0,0,0,0
"ENSG00000274917.1",0,0,0,0,0,0
"ENSG00000273937.1",0,0,0,0,0,0
"ENSG00000273730.1",0,0,0,0,0,0
"ENSG00000276711.1",0,0,0,0,0,0
"ENSG00000272603.1",0,0,0,0,0,0
"ENSG00000272793.1",0,0,0,0,0,0
"ENSG00000272613.1",0,0,0,0,0,0
"ENSG00000272857.1",0,0,0,0,0,0
"ENSG00000236614.1",0,0,0,0,0,0
"ENSG00000234411.1",0,0,0,0,0,0
"ENSG00000264025.1",0,0,0,0,0,0
"ENSG00000234495.7",0,0,0,0,0,0
"ENSG00000224642.2",0,0,0,0,0,0
"ENSG00000241408.1",0,0,0,0,0,0
"ENSG00000225351.4",0,0,0,0,0,0
"ENSG00000236070.1",0,0,0,0,0,0
"ENSG00000226463.1",0,0,0,0,0,0
"ENSG00000233054.3",0,0,0,0,0,0
"ENSG00000234305.1",0,0,0,0,0,0
"ENSG00000226271.1",0,0,0,0,0,0
"ENSG00000224229.1",0,0,0,0,0,0
"ENSG00000229040.2",0,0,0,0,0,0
"ENSG00000225550.4",0,0,0,0,0,0
"ENSG00000226799.1",0,0,0,0,0,0
"ENSG00000230754.1",0,0,0,0,0,0
"ENSG00000237690.1",0,0,0,0,0,0
"ENSG00000236927.4",0,0,0,0,0,0
"ENSG00000242289.1",0,0,0,0,0,0
"ENSG00000230505.4",0,0,0,0,0,0
"ENSG00000229181.1",0,0,0,0,0,0
"ENSG00000232289.8",0,0,0,0,0,0
"ENSG00000229125.8",0,0,0,0,0,0
"ENSG00000237421.1",0,0,0,0,0,0
"ENSG00000229136.1",0,0,0,0,0,0
"ENSG00000234954.3",0,0,0,0,0,0
"ENSG00000232974.3",0,0,0,0,0,0
